project,filename,journey_type,journey_kind,brand_name,size_kb,base64_image_count,base64_kb,css_kb,js_kb,step_count,screen_count,colors,step_labels,message_samples
Banas_Diary,journey_automated_collections.html,automated_collections,canonical,Banas Dairy,99,0,0,14,5,0,0,"{""brand"": ""#10A7E1"", ""brand-l"": ""#046287"", ""accent"": ""#FFD700""}",,
Banas_Diary,journey_campaigns_queries.html,campaigns_queries,canonical,Banas Dairy,4272,3,4155,38,9,3,9,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Campaigns &amp; Queries | Scheme &amp; Product Queries | Scheme &amp; Loyalty Queries | Screen 1 · Diwali Festive Campaign | Screen 2 · Product Category Selection | Screen 3 · Price List Response | Screen 1 · Bhujia Range Scheme | Screen 2 · Retailer Asks — AI Typing | Screen 3 · AI Explains Scheme | Screen 1 · Retailer Scheme Query | Screen 2 · Retailer Scheme Query | Screen 3 · Retailer Scheme Query,View Products || Price List || Diwali Scheme || Scheme thoda detail mein batao || Scheme thoda detail mein batao
Banas_Diary,journey_dealer_engagement.html,dealer_engagement,canonical,Banas Dairy,4272,3,4155,38,9,3,9,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Campaign &amp; Promotions | Scheme &amp; Product Queries | Loyalty &amp; Credit Queries | Screen 1 · Bulk Purchase Campaign | Screen 2 · Product Category Selection | Screen 3 · Price List Response | Screen 1 · Q2 Volume Scheme | Screen 2 · Dealer Asks — AI Typing | Screen 3 · AI Explains Scheme | Screen 1 · Dealer Loyalty Query | Screen 2 · Dealer Credit Query | Screen 3 · Dealer SE Escalation,View Products || Butter Price List || Bulk Scheme || Q2 scheme thoda detail mein batao || Q2 scheme thoda detail mein batao
Banas_Diary,journey_dt_fulfillment_payment.html,dt_fulfillment_payment,canonical,Banas Dairy,520,6,293,38,10,5,15,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Fullfilment Confirmation | Order to Invoice | Invoice &amp; Payment | Collect Digital Orders | Collect Payments | Screen 1 · DT Receives Order | Screen 2 · DT Order Review | Screen 3 · DT Accepts Order | Screen 1 · Fullfilment Menu | Screen 2 · Orders to Process | Screen 3 · Upload Invoice | Screen 1 · Invoice Shared | Screen 2 · Payment Reminder | Screen 3 · Payment Received | Screen 1 · Fullfilment Menu | Screen 2 · Select Retailers | Screen 3 · Order Nudge to Retailer | Screen 1 · Fullfilment Menu | Screen 2 · Pending Invoices | Screen 3 · Payment Reminder,"Order accepted ✅ All items verified. Dispatching by 19 April 2026. || 
                      Hello  || 
                      Hello  || 
                      Hello "
Banas_Diary,journey_field_ops_expense.html,field_ops_expense,canonical,Banas Dairy,16703,12,16346,72,16,15,24,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | PWA App Installation | Field Ops Command Center | DSR Files Expense Claim | Manager Approval Queue | Manager Reviews &amp; Approves | DSR Receives Notifications | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Deepak's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
Banas_Diary,journey_order_to_cash.html,order_to_cash,canonical,Banas Dairy,4897,15,4654,47,10,8,21,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Self Service Ordering | Catalog Browse &amp; Order | AI Order Capture | Back Office Order Fulfilment | Order Confirmed Notification | Order History &amp; Navigation | Invoice &amp; Cash Discount | Payment Received | Screen 1 · Self Service Menu | Screen 2 · Browse Products | Screen 3 · Product Selection | Screen 1 · Browse Products Catalog | Screen 2 · Cart Review | Screen 3 · Order Received | Screen 1 · Dealer Sends Order Note | Screen 2 · Draft Order | Screen 3 · Cart &amp; Checkout | Screen 1 · Orders to Process | Screen 2 · Order Review &amp; Accept | Screen 1 · Order Confirmed | Screen 2 · Order Details — Read Only (PWA) | Screen 1 · Order History (PWA) | Screen 2 · Navigation Drawer | Screen 1 · New Invoice | Screen 2 · Cash Discount Expiring | Screen 3 · Payment Due Soon | Screen 1 · Payment Received | Screen 2 · Division Selection | Screen 3 · Settlement Confirmation,Open Menu || View Products || Please process this order 🙏 || 📋 Received your order note! ZoTok AI is reading it now... || Please process this order 🙏
Banas_Diary,journey_post_order_communication.html,post_order_communication,canonical,Banas Dairy,148,2,26,21,5,5,0,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#1C1C1C""}",Order Submitted Notification | Order History &amp; Navigation | Order Confirmed Notification | Invoice &amp; Cash Discount | Payment Received | Screen 1 · Order Submitted | Screen 2 · Order Details (PWA) | Screen 1 · Order History (PWA) | Screen 2 · Navigation Drawer | Screen 1 · Order Confirmed | Screen 2 · Order Details — Read Only (PWA) | Screen 1 · New Invoice | Screen 2 · Cash Discount Expiring | Screen 3 · Payment Due Soon | Screen 1 · Payment Received | Screen 2 · Division Selection | Screen 3 · Settlement Confirmation,Submit details
Banas_Diary,journey_retailer_activation.html,retailer_activation,canonical,Banas Dairy,1124,1,1029,40,9,2,5,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Retailer Onboarding | Welcome &amp; Self Service | Screen 1 · Activation Campaign | Screen 2 · Retailer Registration | Screen 3 · Application Under Review | Screen 3 · Registration Successful | Screen 4 · Self Service Menu,Register Now || Open Menu
Banas_Diary,journey_retailer_loyalty_invoice_collection.html,retailer_loyalty,canonical,Banas Dairy Retail Connect,110,0,0,26,6,12,0,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Scheme Communication | Retailer Home Menu | Invoice Upload Flow | Invoice Processing | Invoice Acknowledgment | Scheme Progress Update | Milestone Achievement | Invoice Ledger View | Earnings Dashboard | Engagement Nudges | Validation &amp; Exceptions | Brand Intelligence | Screen 1 · Scheme Communication | Screen 1 · Retailer Menu | Screen 1 · Invoice Upload | Screen 2 · Upload Guidance | Screen 1 · Processing State | Screen 1 · Invoice Acknowledgment | Screen 1 · Scheme Progress | Screen 1 · Milestone Achievement | Screen 1 · Invoice Ledger | Screen 1 · Earnings Dashboard | Screen 1 · Engagement Nudge,
Banas_Diary,journey_retailer_onboarding_to_cash.html,retailer_onboarding,canonical,Banas Dairy,2348,25,1959,38,12,12,35,"{""brand"": ""#10A7E1"", ""brand-dark"": ""#046287"", ""accent"": ""#FFD700""}",Retailer Onboarding | Welcome &amp; Self Service | Campaigns &amp; Queries | Scheme &amp; Product Queries | Self Service Ordering | Catalog Browse &amp; Order | AI Order Capture | Distributor Confirmation | Order to Invoice | Invoice &amp; Payment | Collect Digital Orders | Collect Payments | Screen 1 · Activation Campaign | Screen 2 · Retailer Registration | Screen 3 · Application Under Review | Screen 3 · Registration Successful | Screen 4 · Self Service Menu | Screen 1 · Diwali Festive Campaign | Screen 2 · Product Category Selection | Screen 3 · Price List Response | Screen 1 · Bhujia Range Scheme | Screen 2 · Retailer Asks — AI Typing | Screen 3 · AI Explains Scheme | Screen 1 · Self Service Menu | Screen 2 · Browse Products | Screen 3 · Product Selection | Screen 1 · Browse Products Catalog | Screen 2 · Cart Review | Screen 3 · Order Received | Screen 1 · Retailer Sends Order Note | Screen 2 · Draft Order | Screen 3 · Cart &amp; Checkout | Screen 1 · DT Receives Order | Screen 2 · DT Order Review | Screen 3 · DT Accepts Order | Screen 1 · Distributor Menu | Screen 2 · Orders to Process | Screen 3 · Upload Invoice | Screen 1 · Invoice Shared | Screen 2 · Payment Reminder | Screen 3 · Payment Received | Screen 1 · Distributor Menu | Screen 2 · Select Retailers | Screen 3 · Order Nudge to Retailer | Screen 1 · Distributor Menu | Screen 2 · Pending Invoices | Screen 3 · Payment Reminder,Register Now || Open Menu || View Products || Price List || Diwali Scheme
BlueOcean,index.html,,hub,Blue Ocean Steels,10,0,0,4,0,0,0,{},,
BlueOcean,journey_customer_groups.html,,unknown,Blue Ocean Steels,101,0,0,21,8,7,1,"{""brand"": ""#1B3A6B"", ""brand-dark"": ""#152f58"", ""accent"": ""#E63946""}",Group Setup | Customer Enquiry | ZoAi Captures Enquiry | Internal Automation | Quote Approved | Quote Delivered | Order Confirmed | Screen 1 · Add Participants | Screen 2 · Group Created | Screen 1 · Customer Enquiry | Screen 2 · Coordinator Tags @zoai | Screen 1 · Enquiry Sheet Updated | Screen 2 · Group Acknowledgement | Internal Process — Behind the Scenes | Quote Approved — Sheet Updated | Screen 1 · Quote PDF Sent to Group | Screen 2 · WABA Utility Template (DM) | Screen 1 · Order Confirmed,
BlueOcean,journey_daily_rate_broadcast.html,campaigns_queries,inferred,Sakku Group &mdash; Daily Egg Price Broadcast,74,0,0,21,6,6,4,"{""brand"": ""#1B3A6B"", ""brand-dark"": ""#152f58"", ""accent"": ""#589981""}",Problem &amp; Solution | Update Daily Poultry Rate Sheet | Open ZoTok Add-on Menu | Broadcast Sent | Recipients Receive Rates | Dealer Order Capture | Step 2 &middot; Daily Poultry Rate Sheet in Google Sheets | Step 3 · ZoTok Add-on Menu | Step 4 · Broadcast Sent | Screen 1 &middot; Dealer Receives Rate | Screen 2 &middot; Retailer Receives Rate | Step 6 &middot; Dealer Order Capture &amp; Dispatch,
BlueOcean,journey_direct_enquiries.html,,unknown,Blue Ocean Steels,99,0,0,22,8,7,1,"{""brand"": ""#1B3A6B"", ""brand-dark"": ""#152f58"", ""accent"": ""#E63946""}",Customer DM to Sales Exec | Amit Posts in BOS Group | ZoAi Captures Enquiry | Internal Automation | Quote Approved | Multi-Channel Delivery | Customer Approves | Screen 1 · Customer WhatsApp DM | Screen 1 · BOS Internal Group | Screen 2 · Amit Triggers @zoai | Screen 1 · Enquiry Sheet Updated | Screen 2 · BOS Group Acknowledgement | Internal Process — Behind the Scenes | Quote Approved — Sheet Updated | Screen 1 · Customer Email | Screen 2 · WABA Template to Customer | Screen 1 · Customer Taps Approve,
BlueOcean,journey_field_ops_expense.html,field_ops_expense,canonical,Haldiram's,16121,24,15794,49,15,16,29,"{""brand"": ""#E8201E"", ""brand-dark"": ""#b01010"", ""accent"": ""#FFD700""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | New Lead Registration | PWA App Installation | Field Ops Command Center | DSR Files Expense Claim | Manager Approval Queue | Manager Reviews &amp; Approves | DSR Receives Notifications | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Deepak's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · Visiting Card Lead Capture | Screen 2 · ZoAi Parses the Card | Screen 3 · Lead Form (Pre-filled by ZoAi) | Screen 4 · CRM Confirmation | Screen 5 · Lead Welcome DM | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
BlueOcean,journey_sales_to_cash.html,order_to_cash,inferred,Blue Ocean Steels,761,1,614,42,8,6,1,"{""brand"": ""#1B3A6B"", ""brand-dark"": ""#152f58"", ""accent"": ""#589981""}",TallyPrime Integration | Invoice &amp; Dispatch | Cash Discount &amp; Reminder | Payment Received | Credit Note &amp; Ledger | Self-Service Menu | Step 1 · Architecture | Screen 1 · Invoice Delivered | Screen 2 · Dispatch Note | Screen 1 · Cash Discount Offer | Screen 2 · Payment Reminder | Screen 1 · Payment Received | Screen 2 · Account Snapshot | Screen 3 · Ledger WebView | Screen 1 · Credit Note | Screen 2 · ZoAi Sends Ledger | Screen 3 · Ledger Updated | Screen 1 · Navigation Drawer | Screen 2 · Orders Dashboard,
BlueOcean,journey_support_tickets.html,,unknown,Blue Ocean Steels,88,0,0,18,8,6,1,"{""brand"": ""#1B3A6B"", ""brand-dark"": ""#152f58"", ""accent"": ""#589981""}",Customer Asks Outstanding | Damage Reported | Ticket in Google Sheet | How Tickets Flow | Team Updates · Customer Notified | Ticket Resolved | Screen 1 · Outstanding Query | Screen 2 · ZoAi Outstanding Reply | Screen 1 · Damage Reported | Screen 2 · Priya Steps In · Ticket Created | Screen 1 · Support Ticket Sheet | How Tickets Flow — Sheet + WMS | Screen 1 · Internal WMS | Screen 2 · Customer Group Update | Screen 1 · Support Ticket Sheet — Resolved | Screen 2 · Group Closure,
Haldirams,index.html,,hub,Campa,7,0,0,3,0,0,0,"{""brand"": ""#662D86"", ""brand-l"": ""#892E8B"", ""brand-red"": ""#E61D29""}",,
Haldirams,journey_automated_collections.html,automated_collections,canonical,Campa,288,12,205,10,5,0,0,"{""primary-purple"": ""#662D86"", ""brand"": ""#662D86"", ""brand-l"": ""#892E8B"", ""brand-red"": ""#E61D29"", ""orange-accent"": ""#E79627"", ""accent"": ""var(--orange-accent)""}",,
Haldirams,journey_campaigns_queries.html,campaigns_queries,canonical,Haldiram's,581,13,486,25,9,3,9,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Campaigns &amp; Queries | Scheme &amp; Product Queries | Scheme &amp; Loyalty Queries | Screen 1 · Diwali Festive Campaign | Screen 2 · Product Category Selection | Screen 3 · Price List Response | Screen 1 · Bhujia Range Scheme | Screen 2 · Retailer Asks — AI Typing | Screen 3 · AI Explains Scheme | Screen 1 · Retailer Scheme Query | Screen 2 · Retailer Scheme Query | Screen 3 · Retailer Scheme Query,View Products || Price List || Diwali Scheme || Scheme thoda detail mein batao || Scheme thoda detail mein batao
Haldirams,journey_dt_fulfillment_payment.html,dt_fulfillment_payment,canonical,Haldiram's,676,18,499,25,9,5,15,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Distributor Confirmation | Order to Invoice | Invoice &amp; Payment | Collect Digital Orders | Collect Payments | Screen 1 · DT Receives Order | Screen 2 · DT Order Review | Screen 3 · DT Accepts Order | Screen 1 · Distributor Menu | Screen 2 · Orders to Process | Screen 3 · Upload Invoice | Screen 1 · Invoice Shared | Screen 2 · Payment Reminder | Screen 3 · Payment Received | Screen 1 · Distributor Menu | Screen 2 · Select Retailers | Screen 3 · Order Nudge to Retailer | Screen 1 · Distributor Menu | Screen 2 · Pending Invoices | Screen 3 · Payment Reminder,"Order accepted ✅ All items verified. Dispatching by 19 April 2026. || 
                    Hello  || 
                    Hello  || 
                    Hello "
Haldirams,journey_field_ops_expense.html,field_ops_expense,canonical,Haldiram's,16121,24,15794,49,15,16,29,"{""brand"": ""#E8201E"", ""brand-dark"": ""#b01010"", ""accent"": ""#FFD700""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | New Lead Registration | PWA App Installation | Field Ops Command Center | DSR Files Expense Claim | Manager Approval Queue | Manager Reviews &amp; Approves | DSR Receives Notifications | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Deepak's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · Visiting Card Lead Capture | Screen 2 · ZoAi Parses the Card | Screen 3 · Lead Form (Pre-filled by ZoAi) | Screen 4 · CRM Confirmation | Screen 5 · Lead Welcome DM | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
Haldirams,journey_field_ops_expense_bkp.html,field_ops_expense,canonical,Haldiram's,16089,24,15794,48,15,15,24,"{""brand"": ""#E8201E"", ""brand-dark"": ""#b01010"", ""accent"": ""#FFD700""}",Admin Creates Group | ZoAi Capability Panel | Start Day &amp; Clock-In | Request Plan | Travel &amp; Check-In | Order Capture &amp; Review | Order Submit &amp; Notify | Competitor Insights | Realtime ASM Communication | PWA App Installation | Field Ops Command Center | DSR Files Expense Claim | Manager Approval Queue | Manager Reviews &amp; Approves | DSR Receives Notifications | Screen 1 · Create Group | Screen 2 · Add Members | Screen 3 · Group Created | Screen 1 · Clock-In Command | Screen 2 · Clock-In Confirmed | Screen 1 · Plan Command | Screen 2 · Visit List | Screen 1 · Check-In Command | Screen 2 · Check-In Confirmed | Screen 1 · Order Capture | Screen 2 · Order Created | Screen 1 · PWA Order Review | Screen 2 · Retailer DM (Template) | Screen 3 · Group · Deepak's View | Screen 1 · Notes Capture | Screen 2 · Field Activity Log | Screen 1 · Competitor Follow-Up | Screen 2 · Outstanding Reminder &amp; Ledger | Screen 1 · PWA Hamburger Menu | Screen 2 · App Added to Home Screen | Screen 3 · Works Offline | Screen 4 · Beat Plan — Today's Visits | Screen 1 · Activity History | Screen 2 · Team Performance Report,
Haldirams,journey_order_to_cash.html,order_to_cash,canonical,Haldiram's,3798,24,3691,25,9,3,9,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Self Service Ordering | Catalog Browse &amp; Order | AI Order Capture | Screen 1 · Self Service Menu | Screen 2 · Browse Products | Screen 3 · Product Selection | Screen 1 · Browse Products Catalog | Screen 2 · Cart Review | Screen 3 · Order Received | Screen 1 · Retailer Sends Order Note | Screen 2 · Draft Order | Screen 3 · Cart &amp; Checkout,Register Now || Open Menu || View Products || Please process this order 🙏 || 📋 Received your order note! ZoTok AI is reading it now...
Haldirams,journey_retailer_activation.html,retailer_activation,canonical,Haldiram's,818,6,742,27,8,2,5,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Retailer Onboarding | Welcome &amp; Self Service | Screen 1 · Activation Campaign | Screen 2 · Retailer Registration | Screen 3 · Application Under Review | Screen 3 · Registration Successful | Screen 4 · Self Service Menu,Register Now || Open Menu
Haldirams,journey_retailer_loyalty_invoice_collection.html,retailer_loyalty,canonical,Haldiram Retail Connect,115,2,34,34,5,12,0,"{""brand"": ""#E8201E"", ""brand-dark"": ""#C41A18"", ""accent"": ""#FFD700""}",Scheme Communication | Retailer Home Menu | Invoice Upload Flow | Invoice Processing | Invoice Acknowledgment | Scheme Progress Update | Milestone Achievement | Invoice Ledger View | Earnings Dashboard | Engagement Nudges | Validation &amp; Exceptions | Brand Intelligence | Screen 1 · Scheme Communication | Screen 1 · Retailer Menu | Screen 1 · Invoice Upload | Screen 2 · Upload Guidance | Screen 1 · Processing State | Screen 1 · Invoice Acknowledgment | Screen 1 · Scheme Progress | Screen 1 · Milestone Achievement | Screen 1 · Invoice Ledger | Screen 1 · Earnings Dashboard | Screen 1 · Engagement Nudge,
